"","species","doy","year","source","photoperiod_sensitive"
"108","Arabidopsis_thaliana",76,1957,"uknc",TRUE
"109","Antirrhinum_majus",135,1957,"uknc",TRUE
"110","Cynosurus_cristatus",141,1957,"uknc",FALSE
"111","Deschampsia_flexuosa",138,1957,"uknc",TRUE
"112","Epilobium_parviflorum",191,1957,"uknc",TRUE
"113","Poa_nemoralis",140,1957,"uknc",FALSE
"114","Deschampsia_cespitosa",134,1957,"uknc",TRUE
"115","Festuca_pratensis",145,1957,"uknc",FALSE
"116","Festuca_rubra",87,1957,"uknc",FALSE
"117","Poa_trivialis",141,1957,"uknc",FALSE
"118","Ribes_nigrum",122,1957,"uknc",TRUE
"119","Trifolium_pratense",143,1958,"uknc",TRUE
"120","Ilex_aquifolium",132,1958,"uknc",FALSE
"121","Phleum_pratense",188,1958,"uknc",TRUE
"122","Rumex_acetosella",124,1958,"uknc",TRUE
"123","Aster_novi-belgii",212,1958,"uknc",TRUE
"124","Avena_sativa",179,1958,"uknc",TRUE
"125","Arabidopsis_thaliana",110,1958,"uknc",TRUE
"126","Syringa_vulgaris",120,1958,"uknc",FALSE
"127","Poa_trivialis",152,1958,"uknc",FALSE
"128","Holcus_lanatus",154,1958,"uknc",FALSE
"129","Ribes_rubrum",120,1958,"uknc",TRUE
"130","Brachypodium_pinnatum",169,1958,"uknc",FALSE
"131","Scrophularia_vernalis",120,1958,"uknc",FALSE
"132","Pastinaca_sativa",172,1958,"uknc",FALSE
"133","Geum_urbanum",169,1958,"uknc",FALSE
"134","Silene_dioica",124,1958,"uknc",FALSE
"135","Sinapis_alba",129,1958,"uknc",TRUE
"136","Arctium_lappa",205,1958,"uknc",TRUE
"137","Deschampsia_flexuosa",141,1958,"uknc",TRUE
"138","Epilobium_parviflorum",188,1958,"uknc",TRUE
"139","Myosotis_scorpioides",168,1958,"uknc",FALSE
"140","Deschampsia_cespitosa",167,1958,"uknc",TRUE
"141","Viola_odorata",40,1958,"uknc",TRUE
"142","Festuca_arundinacea",131,1958,"uknc",TRUE
"143","Ribes_nigrum",124,1958,"uknc",TRUE
"144","Papaver_somniferum",201,1958,"uknc",TRUE
"145","Silene_latifolia",142,1958,"uknc",TRUE
"146","Trifolium_pratense",136,1959,"uknc",TRUE
"147","Ilex_aquifolium",131,1959,"uknc",FALSE
"148","Rumex_acetosella",115,1959,"uknc",TRUE
"149","Festuca_rubra",157,1959,"uknc",FALSE
"150","Arabidopsis_thaliana",87,1959,"uknc",TRUE
"151","Antirrhinum_majus",157,1959,"uknc",TRUE
"152","Holcus_lanatus",158,1959,"uknc",FALSE
"153","Ribes_rubrum",108,1959,"uknc",TRUE
"154","Phleum_pratense",171,1959,"uknc",TRUE
"155","Brachypodium_pinnatum",150,1959,"uknc",FALSE
"156","Digitalis_purpurea",158,1959,"uknc",TRUE
"157","Silene_latifolia",136,1959,"uknc",TRUE
"158","Pastinaca_sativa",172,1959,"uknc",FALSE
"159","Sinapis_alba",135,1959,"uknc",TRUE
"160","Arctium_lappa",207,1959,"uknc",TRUE
"161","Deschampsia_flexuosa",130,1959,"uknc",TRUE
"162","Epilobium_parviflorum",179,1959,"uknc",TRUE
"163","Deschampsia_cespitosa",168,1959,"uknc",TRUE
"164","Festuca_arundinacea",126,1959,"uknc",TRUE
"165","Ribes_nigrum",104,1959,"uknc",TRUE
"166","Syringa_vulgaris",130.6420765,1960,"uknc",FALSE
"167","Rumex_acetosella",122.6639344,1960,"uknc",TRUE
"168","Lactuca_serriola",176.5163934,1960,"uknc",TRUE
"169","Alopecurus_pratensis",99.72677596,1960,"uknc",TRUE
"170","Cichorium_intybus",186.489071,1960,"uknc",TRUE
"171","Ribes_rubrum",107.704918,1960,"uknc",TRUE
"172","Phleum_pratense",179.5081967,1960,"uknc",TRUE
"173","Geum_urbanum",145.6010929,1960,"uknc",FALSE
"174","Trifolium_repens",150.5874317,1960,"uknc",TRUE
"175","Brachypodium_pinnatum",163.5519126,1960,"uknc",FALSE
"176","Digitalis_purpurea",151.5846995,1960,"uknc",TRUE
"177","Ulmus_glabra",80.77868852,1960,"uknc",TRUE
"178","Anagallis_arvensis",157.568306,1960,"uknc",TRUE
"179","Silene_latifolia",132.636612,1960,"uknc",TRUE
"180","Solidago_canadensis",197.4590164,1960,"uknc",TRUE
"181","Plantago_lanceolata",114.6857923,1960,"uknc",TRUE
"182","Pastinaca_sativa",155.5737705,1960,"uknc",FALSE
"183","Poa_pratensis",111.6939891,1960,"uknc",TRUE
"184","Chenopodium_album",183.4972678,1960,"uknc",TRUE
"185","Sonchus_oleraceus",128.647541,1960,"uknc",TRUE
"186","Sinapis_alba",121.6666667,1960,"uknc",TRUE
"187","Arrhenatherum_elatius",135.6284153,1960,"uknc",FALSE
"188","Calluna_vulgaris",187.4863388,1960,"uknc",TRUE
"189","Avena_sativa",152.5819672,1960,"uknc",TRUE
"190","Antirrhinum_majus",143.6065574,1960,"uknc",TRUE
"191","Cynosurus_cristatus",149.5901639,1960,"uknc",FALSE
"192","Briza_media",143.6065574,1960,"uknc",FALSE
"193","Trifolium_pratense",132.636612,1960,"uknc",TRUE
"194","Deschampsia_flexuosa",141.6120219,1960,"uknc",TRUE
"195","Poa_nemoralis",136.6256831,1960,"uknc",FALSE
"196","Poa_trivialis",153.579235,1960,"uknc",FALSE
"197","Festuca_pratensis",155.5737705,1960,"uknc",FALSE
"198","Deschampsia_cespitosa",155.5737705,1960,"uknc",TRUE
"199","Viola_odorata",44.87704918,1960,"uknc",TRUE
"200","Festuca_arundinacea",130.6420765,1960,"uknc",TRUE
"201","Ribes_nigrum",122.6639344,1960,"uknc",TRUE
"202","Syringa_vulgaris",114,1961,"uknc",FALSE
"203","Alopecurus_pratensis",71,1961,"uknc",TRUE
"204","Geum_urbanum",139,1961,"uknc",FALSE
"205","Lunaria_annua",85,1961,"uknc",TRUE
"206","Trifolium_repens",111,1961,"uknc",TRUE
"207","Brachypodium_pinnatum",161,1961,"uknc",FALSE
"208","Digitalis_purpurea",114,1961,"uknc",TRUE
"209","Ulmus_glabra",58,1961,"uknc",TRUE
"210","Anagallis_arvensis",111,1961,"uknc",TRUE
"211","Silene_latifolia",131,1961,"uknc",TRUE
"212","Solidago_canadensis",203,1961,"uknc",TRUE
"213","Pastinaca_sativa",106,1961,"uknc",FALSE
"214","Poa_pratensis",105,1961,"uknc",TRUE
"215","Sonchus_oleraceus",71,1961,"uknc",TRUE
"216","Sinapis_alba",118,1961,"uknc",TRUE
"217","Arrhenatherum_elatius",144,1961,"uknc",FALSE
"218","Calluna_vulgaris",201,1961,"uknc",TRUE
"219","Arabidopsis_thaliana",107,1961,"uknc",TRUE
"220","Aster_novi-belgii",229,1961,"uknc",TRUE
"221","Cynosurus_cristatus",149,1961,"uknc",FALSE
"222","Briza_media",141,1961,"uknc",FALSE
"223","Plantago_lanceolata",105,1961,"uknc",TRUE
"224","Deschampsia_flexuosa",138,1961,"uknc",TRUE
"225","Rubus_idaeus",138,1961,"uknc",TRUE
"226","Poa_nemoralis",127,1961,"uknc",FALSE
"227","Poa_trivialis",138,1961,"uknc",FALSE
"228","Festuca_pratensis",149,1961,"uknc",FALSE
"229","Deschampsia_cespitosa",164,1961,"uknc",TRUE
"230","Viola_odorata",68,1961,"uknc",TRUE
"231","Festuca_rubra",107,1961,"uknc",FALSE
"232","Festuca_arundinacea",107,1961,"uknc",TRUE
"233","Ribes_nigrum",102,1961,"uknc",TRUE
"234","Ranunculus_ficaria",43,1962,"uknc",FALSE
"235","Alopecurus_pratensis",126,1962,"uknc",TRUE
"236","Ilex_aquifolium",148,1962,"uknc",FALSE
"237","Cichorium_intybus",218,1962,"uknc",TRUE
"238","Phleum_pratense",189,1962,"uknc",TRUE
"239","Geum_urbanum",145,1962,"uknc",FALSE
"240","Lunaria_annua",121,1962,"uknc",TRUE
"241","Trifolium_repens",152,1962,"uknc",TRUE
"242","Ulmus_glabra",91,1962,"uknc",TRUE
"243","Solidago_canadensis",220,1962,"uknc",TRUE
"244","Poa_pratensis",127,1962,"uknc",TRUE
"245","Chenopodium_album",197,1962,"uknc",TRUE
"246","Sonchus_oleraceus",158,1962,"uknc",TRUE
"247","Sinapis_alba",141,1962,"uknc",TRUE
"248","Arctium_lappa",217,1962,"uknc",TRUE
"249","Cynosurus_cristatus",157,1962,"uknc",FALSE
"250","Briza_media",144,1962,"uknc",FALSE
"251","Plantago_lanceolata",121,1962,"uknc",TRUE
"252","Trifolium_pratense",146,1962,"uknc",TRUE
"253","Deschampsia_flexuosa",155,1962,"uknc",TRUE
"254","Poa_nemoralis",148,1962,"uknc",FALSE
"255","Poa_trivialis",152,1962,"uknc",FALSE
"256","Deschampsia_cespitosa",181,1962,"uknc",TRUE
"257","Viola_odorata",86,1962,"uknc",TRUE
"258","Rumex_acetosella",139,1963,"uknc",TRUE
"259","Ranunculus_ficaria",82,1963,"uknc",FALSE
"260","Alopecurus_pratensis",118,1963,"uknc",TRUE
"261","Ilex_aquifolium",154,1963,"uknc",FALSE
"262","Cichorium_intybus",203,1963,"uknc",TRUE
"263","Ribes_rubrum",119,1963,"uknc",TRUE
"264","Phleum_pratense",177,1963,"uknc",TRUE
"265","Geum_urbanum",157,1963,"uknc",FALSE
"266","Lunaria_annua",117,1963,"uknc",TRUE
"267","Trifolium_repens",155,1963,"uknc",TRUE
"268","Brachypodium_pinnatum",172,1963,"uknc",FALSE
"269","Digitalis_purpurea",159,1963,"uknc",TRUE
"270","Ulmus_glabra",101,1963,"uknc",TRUE
"271","Scrophularia_vernalis",114,1963,"uknc",FALSE
"272","Anagallis_arvensis",173,1963,"uknc",TRUE
"273","Silene_latifolia",151,1963,"uknc",TRUE
"274","Pastinaca_sativa",168,1963,"uknc",FALSE
"275","Solidago_canadensis",212,1963,"uknc",TRUE
"276","Poa_pratensis",124,1963,"uknc",TRUE
"277","Chenopodium_album",178,1963,"uknc",TRUE
"278","Silene_dioica",145,1963,"uknc",FALSE
