"species","photoperiodism","cultivar","reference","notes","sensitivity_yn"
"Sinapis_alba","sld","","kinet 1972","",TRUE
"Soja_max_var_biloxi","sd","","parker et al 1946","",TRUE
"Solanum_melongena","na","","thomas and vince prue 1997","",FALSE
"Solanum_tuberosum","ld","","thomas and vince prue 1997","",TRUE
"Solidago_canadensis","id","","thomas and vince prue 1997","",TRUE
"Solidago_sempervirens","sd","","thomas and vince prue 1997","",TRUE
"Solidago_shortii","sd","","walck et al 1999","",TRUE
"Sonchus_oleraceus","ld","","thomas and vince prue 1997","",TRUE
"Sorghum_bicolor","sd","","thomas and vince prue 1997","",TRUE
"Sorghum_halepense","sd","","thomas and vince prue 1997","",TRUE
"Spergularia_diandra","ld","","gutterman 1997","",TRUE
"Spiraea_cantonesis","na","","thomas and vince prue 1997","",FALSE
"Spirodela_aequinoctialis","ld","","thomas and vince prue 1997","",TRUE
"Spirodela_paucicostata","ld","","thomas and vince prue 1997","",TRUE
"Spirodela_polyrrhiza","na","","thomas and vince prue 1997","",FALSE
"Spirodela_punctata","ld","","thomas and vince prue 1997","",TRUE
"Stephanitis_floribunda","ld","","thomas and vince prue 1997","",TRUE
"Stephanotis_floribunda","ld","","kano et al 1993","",TRUE
"Stevia_serrata","sd","","laurie and poesch 1932","",TRUE
"Stipa_barbata","ld","","thomas and vince prue 1997","",TRUE
"Strelitsia_reginae","na","","thomas and vince prue 1997","",FALSE
"Streptocarpus_wendlandii","yes","","hess 1959","",TRUE
"Streptocarpus_x_hybridus","na","","thomas and vince prue 1997","",FALSE
"Stylosanthes_guianensis","ldsd","","trongkongsin 1988","",TRUE
"Stylosanthes_humilis","sd","","thomas and vince prue 1997","",TRUE
"Suaeda_salsa","sd","","kefu et al 2002","",TRUE
"Symhapndra_hoffmanni","sld","","thomas and vince prue 1997","",TRUE
"Syringa_vulgaris","na","","chouard 1946","",FALSE
"Tagete_patula","sd","","thomas and vince prue 1997","",TRUE
"Tagetes_erecta","sd","african marigold cv crush","baloch et al 2013","",TRUE
"Tagetes_patula","sd","french marigold cv orange gate","baloch et al 2013","",TRUE
"Tagetes_tenuifolia","sd","","thomas and vince prue 1997","",TRUE
"Tephrosia_candida","id","","thomas and vince prue 1997","",TRUE
"Teucrium_scorodonia_c","ld","","thomas and vince prue 1997","",TRUE
"Thalaspi_arvensis","ld","","thomas and vince prue 1997","",TRUE
"Thlaspi_perfoliatum","na","","thomas and vince prue 1997","",FALSE
"Thuja_plicata","na","","thomas and vince prue 1997","",FALSE
"Thunbergia_alata","na","","mattson and erwin 2005","",FALSE
"Tithonia_rotundifolia","sd","","garner and allard 1923","",TRUE
"Tithonia_speciosa","sd","","withrow and biebel 1936","",TRUE
"Torenia_fournieri","sd","","thomas and vince prue 1997","",TRUE
"Trachelium_caeruleum","ld","","thomas and vince prue 1997","",TRUE
"Trifolium_humilis","sd","","thomas and vince prue 1997","",TRUE
"Trifolium_pratense","ld","","thomas and vince prue 1997","",TRUE
"Trifolium_repens","sld","hybrids","thomas 1961","",TRUE
"Trifolium_semipilosum","ld","","ison and parson 1992","weak ld response",TRUE
"Trifolium_subterraneum","ld","","thomas and vince prue 1997","",TRUE
"Trifolium_usambarense","id","","thomas and vince prue 1997","",TRUE
"Trigonella_arabica","ld","","thomas and vince prue 1997","",TRUE
"Trigonella_coelesyriaca","ld","","thomas and vince prue 1997","",TRUE
"Trigonella_monspeliaca","ld","","thomas and vince prue 1997","",TRUE
"Trigonella_spinosa","ld","","thomas and vince prue 1997","",TRUE
"Trigonella_stellata","ld","","thomas and vince prue 1997","",TRUE
"Triticum_aestevium","ld","","teltscherova and krekule 1966","",TRUE
"Triticum_aestivum","ld","","thomas and vince prue 1997","",TRUE
"Trofolium_masaiense","ld","","thomas and vince prue 1997","",TRUE
"Tulipa_gesneriana","na","","laurie and poesch 1932","",FALSE
"Ulmus_glabra","ld","","sceglova and leisle 1954","",TRUE
"Utricularia_inflexa","sd","","thomas and vince prue 1997","",TRUE
"Vaccinium_angustifolium","sd","","thomas and vince prue 1997","",TRUE
"Vaccinium_corymbosum","sd","","thomas and vince prue 1997","",TRUE
"Verbascum_phoeniceum","na","","mattson and erwin 2005","",FALSE
"Viburnum_burkwoodii","na","","thomas and vince prue 1997","",FALSE
"Viburnum_carlesii","na","","thomas and vince prue 1997","",FALSE
"Vicia_faba","ld","","thomas and vince prue 1997","there are also some na genotypes",TRUE
"Vigna_unguiculata","sd","","thomas and vince prue 1997","",TRUE
"Viguiera_multiflora","ld","","mattson and erwin 2005","",TRUE
"Viola_odorata","sd","","thomas and vince prue 1997","",TRUE
"Viola_papilonacea","na","","garner and allard 1923","",FALSE
"Viola_tricolor","ld","","withrow and benedict 1936","",TRUE
"Viola_x_wittrockiana","ld","","adams et al 1997","",TRUE
"Viscaria_alba","ld","","thomas and vince prue 1997","",TRUE
"Vitris_cinifera","na","","thomas and vince prue 1997","",FALSE
"Vrisea_splendens","na","","thomas and vince prue 1997","",FALSE
"Wolffia_arrhiza","lsd","","thomas and vince prue 1997","",TRUE
"Wolffia_microscopa","sd","","venketarman et al 1970","",TRUE
"Xanthisma_texanum","yes","","teltscherova and krekule 1966","",TRUE
"Xanthium_pennsylvanicum","sd","","schwabe 1961","",TRUE
"Xanthium_saccharatum","sd","","parker et al 1946","",TRUE
"Xanthium_strumarium_","sd","","thomas and vince prue 1997","",TRUE
"Xanthium_strumarium","sd","","salisbury 1981","",TRUE
"Zantedeschia_aethiopica","na","","thomas and vince prue 1997","",FALSE
"Zea_mays","na","","thomas and vince prue 1997","",FALSE
"Zinnia_elegans","sd","","thomas and vince prue 1997","",TRUE
"Zinnia_mexicana","na","","laurie and poesch 1932","",FALSE
"Zosia_japonica","sd","","thomas and vince prue 1997","",TRUE
"Zosia_matrella","sd","","thomas and vince prue 1997","",TRUE
"Zosia_tenuifolia","sd","","thomas and vince prue 1997","",TRUE
"Aquilegia_canadensis","sd",NA,NA,NA,TRUE
"Vinca_minor","na",NA,NA,NA,FALSE
"Betula_pendula","ld",NA,"wareing 1960",NA,TRUE
"Fagus_sylvatica","na",NA,"wareing 1956",NA,FALSE
"Fragaria_vesca","na",NA,"chouard 1946",NA,FALSE
"Persicaria_lapathifolia","sd",NA,"Wisskirchen 2006",NA,TRUE
"Pinus_sylvestris","ld",NA,"wareing 1950",NA,TRUE
"Plantago_major","ld",NA,"meijer and van der veen 1957",NA,TRUE
