"species","doy","year","source"
"Ilex_aquifolium",132,1958,"uknc"
"Phleum_pratense",188,1958,"uknc"
"Rumex_acetosella",124,1958,"uknc"
"Aster_novi-belgii",212,1958,"uknc"
"Avena_sativa",179,1958,"uknc"
"Arabidopsis_thaliana",110,1958,"uknc"
"Syringa_vulgaris",120,1958,"uknc"
"Poa_trivialis",152,1958,"uknc"
"Holcus_lanatus",154,1958,"uknc"
"Ribes_rubrum",120,1958,"uknc"
"Brachypodium_pinnatum",169,1958,"uknc"
"Scrophularia_vernalis",120,1958,"uknc"
"Pastinaca_sativa",172,1958,"uknc"
"Geum_urbanum",169,1958,"uknc"
"Silene_dioica",124,1958,"uknc"
"Sinapis_alba",129,1958,"uknc"
"Arctium_lappa",205,1958,"uknc"
"Deschampsia_flexuosa",141,1958,"uknc"
"Epilobium_parviflorum",188,1958,"uknc"
"Myosotis_scorpioides",168,1958,"uknc"
"Deschampsia_cespitosa",167,1958,"uknc"
"Viola_odorata",40,1958,"uknc"
"Festuca_arundinacea",131,1958,"uknc"
"Ribes_nigrum",124,1958,"uknc"
"Papaver_somniferum",201,1958,"uknc"
"Silene_latifolia",142,1958,"uknc"
"Trifolium_pratense",136,1959,"uknc"
"Ilex_aquifolium",131,1959,"uknc"
"Rumex_acetosella",115,1959,"uknc"
"Festuca_rubra",157,1959,"uknc"
"Arabidopsis_thaliana",87,1959,"uknc"
"Antirrhinum_majus",157,1959,"uknc"
"Holcus_lanatus",158,1959,"uknc"
"Ribes_rubrum",108,1959,"uknc"
"Phleum_pratense",171,1959,"uknc"
"Brachypodium_pinnatum",150,1959,"uknc"
"Digitalis_purpurea",158,1959,"uknc"
"Silene_latifolia",136,1959,"uknc"
"Pastinaca_sativa",172,1959,"uknc"
"Sinapis_alba",135,1959,"uknc"
"Arctium_lappa",207,1959,"uknc"
"Deschampsia_flexuosa",130,1959,"uknc"
"Epilobium_parviflorum",179,1959,"uknc"
"Deschampsia_cespitosa",168,1959,"uknc"
"Festuca_arundinacea",126,1959,"uknc"
"Ribes_nigrum",104,1959,"uknc"
"Syringa_vulgaris",130.6420765,1960,"uknc"
"Rumex_acetosella",122.6639344,1960,"uknc"
"Lactuca_serriola",176.5163934,1960,"uknc"
"Alopecurus_pratensis",99.72677596,1960,"uknc"
"Cichorium_intybus",186.489071,1960,"uknc"
"Ribes_rubrum",107.704918,1960,"uknc"
"Phleum_pratense",179.5081967,1960,"uknc"
"Geum_urbanum",145.6010929,1960,"uknc"
"Trifolium_repens",150.5874317,1960,"uknc"
"Brachypodium_pinnatum",163.5519126,1960,"uknc"
"Digitalis_purpurea",151.5846995,1960,"uknc"
"Ulmus_glabra",80.77868852,1960,"uknc"
"Anagallis_arvensis",157.568306,1960,"uknc"
"Silene_latifolia",132.636612,1960,"uknc"
"Solidago_canadensis",197.4590164,1960,"uknc"
"Plantago_lanceolata",114.6857923,1960,"uknc"
"Pastinaca_sativa",155.5737705,1960,"uknc"
"Poa_pratensis",111.6939891,1960,"uknc"
"Chenopodium_album",183.4972678,1960,"uknc"
"Sonchus_oleraceus",128.647541,1960,"uknc"
"Sinapis_alba",121.6666667,1960,"uknc"
"Arrhenatherum_elatius",135.6284153,1960,"uknc"
"Calluna_vulgaris",187.4863388,1960,"uknc"
"Avena_sativa",152.5819672,1960,"uknc"
"Antirrhinum_majus",143.6065574,1960,"uknc"
"Cynosurus_cristatus",149.5901639,1960,"uknc"
"Briza_media",143.6065574,1960,"uknc"
"Trifolium_pratense",132.636612,1960,"uknc"
"Deschampsia_flexuosa",141.6120219,1960,"uknc"
"Poa_nemoralis",136.6256831,1960,"uknc"
"Poa_trivialis",153.579235,1960,"uknc"
"Festuca_pratensis",155.5737705,1960,"uknc"
"Deschampsia_cespitosa",155.5737705,1960,"uknc"
"Viola_odorata",44.87704918,1960,"uknc"
"Festuca_arundinacea",130.6420765,1960,"uknc"
"Ribes_nigrum",122.6639344,1960,"uknc"
"Syringa_vulgaris",114,1961,"uknc"
"Alopecurus_pratensis",71,1961,"uknc"
"Geum_urbanum",139,1961,"uknc"
"Lunaria_annua",85,1961,"uknc"
"Trifolium_repens",111,1961,"uknc"
"Brachypodium_pinnatum",161,1961,"uknc"
"Digitalis_purpurea",114,1961,"uknc"
"Ulmus_glabra",58,1961,"uknc"
"Anagallis_arvensis",111,1961,"uknc"
"Silene_latifolia",131,1961,"uknc"
"Solidago_canadensis",203,1961,"uknc"
"Pastinaca_sativa",106,1961,"uknc"
"Poa_pratensis",105,1961,"uknc"
"Sonchus_oleraceus",71,1961,"uknc"
"Sinapis_alba",118,1961,"uknc"
"Arrhenatherum_elatius",144,1961,"uknc"
"Calluna_vulgaris",201,1961,"uknc"
"Arabidopsis_thaliana",107,1961,"uknc"
"Aster_novi-belgii",229,1961,"uknc"
"Cynosurus_cristatus",149,1961,"uknc"
"Briza_media",141,1961,"uknc"
"Plantago_lanceolata",105,1961,"uknc"
"Deschampsia_flexuosa",138,1961,"uknc"
"Rubus_idaeus",138,1961,"uknc"
"Poa_nemoralis",127,1961,"uknc"
"Poa_trivialis",138,1961,"uknc"
"Festuca_pratensis",149,1961,"uknc"
"Deschampsia_cespitosa",164,1961,"uknc"
"Viola_odorata",68,1961,"uknc"
"Festuca_rubra",107,1961,"uknc"
"Festuca_arundinacea",107,1961,"uknc"
"Ribes_nigrum",102,1961,"uknc"
"Ranunculus_ficaria",43,1962,"uknc"
"Alopecurus_pratensis",126,1962,"uknc"
"Ilex_aquifolium",148,1962,"uknc"
"Cichorium_intybus",218,1962,"uknc"
"Phleum_pratense",189,1962,"uknc"
"Geum_urbanum",145,1962,"uknc"
"Lunaria_annua",121,1962,"uknc"
"Trifolium_repens",152,1962,"uknc"
"Ulmus_glabra",91,1962,"uknc"
"Solidago_canadensis",220,1962,"uknc"
"Poa_pratensis",127,1962,"uknc"
"Chenopodium_album",197,1962,"uknc"
"Sonchus_oleraceus",158,1962,"uknc"
"Sinapis_alba",141,1962,"uknc"
"Arctium_lappa",217,1962,"uknc"
"Cynosurus_cristatus",157,1962,"uknc"
"Briza_media",144,1962,"uknc"
"Plantago_lanceolata",121,1962,"uknc"
"Trifolium_pratense",146,1962,"uknc"
"Deschampsia_flexuosa",155,1962,"uknc"
"Poa_nemoralis",148,1962,"uknc"
"Poa_trivialis",152,1962,"uknc"
"Deschampsia_cespitosa",181,1962,"uknc"
"Viola_odorata",86,1962,"uknc"
"Rumex_acetosella",139,1963,"uknc"
"Ranunculus_ficaria",82,1963,"uknc"
"Alopecurus_pratensis",118,1963,"uknc"
"Ilex_aquifolium",154,1963,"uknc"
"Cichorium_intybus",203,1963,"uknc"
"Ribes_rubrum",119,1963,"uknc"
"Phleum_pratense",177,1963,"uknc"
"Geum_urbanum",157,1963,"uknc"
"Lunaria_annua",117,1963,"uknc"
"Trifolium_repens",155,1963,"uknc"
"Brachypodium_pinnatum",172,1963,"uknc"
"Digitalis_purpurea",159,1963,"uknc"
"Ulmus_glabra",101,1963,"uknc"
"Scrophularia_vernalis",114,1963,"uknc"
"Anagallis_arvensis",173,1963,"uknc"
"Silene_latifolia",151,1963,"uknc"
